TimeStamp,Open,High,Low,Close,Volume,DataTime,ema7,ema25,ema50,ema144,ema169,dif,dea,macd,ao
1676924700000,24804.6,24827.2,24793.5,24813.5,725.453,2023-02-21 04:25:00,,,,,,,,,
1676925000000,24813.5,24828.1,24781.0,24795.1,1193.051,2023-02-21 04:30:00,,,,,,,,,
1676925300000,24795.0,24810.2,24790.2,24799.0,364.405,2023-02-21 04:35:00,,,,,,,,,
1676925600000,24799.0,24820.1,24795.8,24802.6,472.145,2023-02-21 04:40:00,,,,,,,,,
1676925900000,24802.5,24811.7,24774.0,24774.1,786.269,2023-02-21 04:45:00,,,,,,,,,
1676926200000,24774.0,24829.4,24774.0,24823.6,831.811,2023-02-21 04:50:00,,,,,,,,,
1676926500000,24823.5,24825.2,24807.2,24807.3,389.302,2023-02-21 04:55:00,24802.17142857143,,,,,,,,
1676926800000,24807.3,24814.6,24801.3,24814.0,366.74,2023-02-21 05:00:00,24805.128571428573,,,,,,,,
1676927100000,24814.1,24814.2,24761.5,24794.0,941.909,2023-02-21 05:05:00,24802.34642857143,,,,,,,,
1676927400000,24794.0,24799.1,24772.9,24798.5,321.738,2023-02-21 05:10:00,24801.38482142857,,,,,,,,
1676927700000,24798.5,24808.4,24792.2,24794.4,331.757,2023-02-21 05:15:00,24799.63861607143,,,,,,,,
1676928000000,24794.4,24798.4,24775.4,24776.9,547.751,2023-02-21 05:20:00,24793.953962053572,,,,,,,,
1676928300000,24776.9,24795.2,24765.0,24793.5,662.54,2023-02-21 05:25:00,24793.840471540178,,,,,,,,
1676928600000,24793.6,24793.6,24754.0,24775.6,872.119,2023-02-21 05:30:00,24789.280353655133,,,,,,,,
1676928900000,24775.6,24791.9,24773.3,24791.8,384.749,2023-02-21 05:35:00,24789.91026524135,,,,,,,,
1676929200000,24791.8,24832.9,24784.5,24832.9,974.418,2023-02-21 05:40:00,24800.657698931012,,,,,,,,
1676929500000,24832.8,24833.7,24770.9,24781.3,715.663,2023-02-21 05:45:00,24795.81827419826,,,,,,,,
1676929800000,24781.2,24803.6,24774.4,24783.5,368.252,2023-02-21 05:50:00,24792.738705648695,,,,,,,,
