TimeStamp,Open,High,Low,Close,Volume,DataTime
1676956800000,24915.50,24915.60,24881.00,24889.70,433.089,2023-02-21 13:20:00
1676957100000,24889.70,24911.70,24887.50,24906.20,395.712,2023-02-21 13:25:00
1676957400000,24906.10,24924.60,24904.20,24924.00,572.731,2023-02-21 13:30:00
1676957700000,24924.00,24939.90,24914.00,24926.60,835.398,2023-02-21 13:35:00
1676958000000,24926.60,24926.70,24908.40,24913.10,422.404,2023-02-21 13:40:00
1676958300000,24913.00,24941.00,24913.00,24940.10,567.936,2023-02-21 13:45:00
1676958600000,24940.00,24966.80,24932.30,24950.30,1128.807,2023-02-21 13:50:00
1676958900000,24950.20,24965.60,24935.50,24948.90,706.655,2023-02-21 13:55:00
1676959200000,24948.80,24983.10,24936.40,24939.00,1636.835,2023-02-21 14:00:00
1676959500000,24938.90,24951.40,24932.10,24945.10,606.787,2023-02-21 14:05:00
1676959800000,24945.20,24982.70,24945.10,24978.20,975.702,2023-02-21 14:10:00
1676960100000,24978.30,24981.20,24958.00,24972.60,1042.618,2023-02-21 14:15:00
1676960400000,24972.60,24989.00,24941.90,24945.00,1119.246,2023-02-21 14:20:00
1676960700000,24945.00,24950.10,24932.90,24945.60,683.409,2023-02-21 14:25:00
1676961000000,24945.60,24945.60,24926.50,24931.80,554.623,2023-02-21 14:30:00
1676961300000,24931.70,24977.70,24928.20,24970.90,674.138,2023-02-21 14:35:00
1676961600000,24970.90,24984.50,24962.30,24978.90,1013.393,2023-02-21 14:40:00
1676961900000,24979.50,24988.00,24966.10,24970.10,793.504,2023-02-21 14:45:00
1676962200000,24970.00,25048.30,24970.00,25036.70,3121.381,2023-02-21 14:50:00
1676962500000,25036.70,25050.00,25020.00,25038.60,1681.297,2023-02-21 14:55:00
1676962800000,25038.60,25040.00,24956.10,24993.10,2464.479,2023-02-21 15:00:00
1676963100000,24993.10,25001.50,24938.70,24957.80,1625.668,2023-02-21 15:05:00
1676963400000,24957.80,25030.50,24957.80,25024.80,2367.132,2023-02-21 15:10:00
1676963700000,25024.70,25024.80,24984.80,24988.20,964.510,2023-02-21 15:15:00
1676964000000,24988.10,25021.10,24986.50,24995.50,896.846,2023-02-21 15:20:00
1676964300000,24995.40,25005.00,24989.50,24996.70,492.615,2023-02-21 15:25:00
1676964600000,24996.70,25016.30,24975.70,24981.90,961.466,2023-02-21 15:30:00
1676964900000,24981.90,24995.00,24975.00,24988.00,631.825,2023-02-21 15:35:00
1676965200000,24988.10,24995.70,24978.50,24988.10,634.424,2023-02-21 15:40:00
1676965500000,24988.10,25023.20,24980.00,25013.30,1278.479,2023-02-21 15:45:00
1676965800000,25013.30,25053.90,25003.30,25050.10,2286.916,2023-02-21 15:50:00
1676966100000,25050.00,25050.10,24990.70,25004.60,1926.903,2023-02-21 15:55:00
1676966400000,25004.60,25024.60,24980.20,25024.60,1231.213,2023-02-21 16:00:00
1676966700000,25024.50,25088.00,25024.50,25071.80,4083.044,2023-02-21 16:05:00
1676967000000,25071.70,25077.90,25030.00,25040.70,1643.340,2023-02-21 16:10:00
1676967300000,25040.70,25190.00,25016.80,25069.70,11679.444,2023-02-21 16:15:00
1676967600000,25069.70,25116.50,25037.30,25096.60,3800.084,2023-02-21 16:20:00
1676967900000,25096.60,25347.60,25026.00,25055.50,24982.906,2023-02-21 16:25:00
1676968200000,25055.50,25097.40,24930.00,25026.80,16985.472,2023-02-21 16:30:00
1676968500000,25027.10,25027.90,24827.90,24846.80,11881.388,2023-02-21 16:35:00
1676968800000,24846.80,24887.70,24762.30,24812.00,12745.740,2023-02-21 16:40:00
1676969100000,24812.00,24812.00,24619.00,24699.90,19054.132,2023-02-21 16:45:00
1676969400000,24700.00,24742.60,24640.00,24714.40,9293.404,2023-02-21 16:50:00
1676969700000,24714.30,24724.80,24650.20,24684.30,5170.610,2023-02-21 16:55:00
1676970000000,24684.40,24760.00,24650.30,24756.30,6472.161,2023-02-21 17:00:00
1676970300000,24756.30,24764.80,24653.30,24654.70,5525.950,2023-02-21 17:05:00
1676970600000,24654.70,24680.30,24525.00,24656.50,13368.160,2023-02-21 17:10:00
1676970900000,24656.40,24730.70,24654.40,24712.10,4490.699,2023-02-21 17:15:00
1676971200000,24712.10,24713.60,24647.70,24711.90,2553.545,2023-02-21 17:20:00
1676971500000,24712.00,24750.00,24693.50,24717.00,2537.060,2023-02-21 17:25:00
1676971800000,24717.00,24819.70,24705.10,24806.50,4973.135,2023-02-21 17:30:00
1676972100000,24806.70,24833.20,24765.60,24821.10,4599.965,2023-02-21 17:35:00
1676972400000,24821.10,24829.70,24782.20,24792.10,2321.299,2023-02-21 17:40:00
1676972700000,24792.10,24809.70,24750.10,24765.30,2206.598,2023-02-21 17:45:00
1676973000000,24765.30,24832.20,24756.30,24802.00,2426.015,2023-02-21 17:50:00
1676973300000,24802.00,24818.10,24788.00,24797.50,1005.783,2023-02-21 17:55:00
1676973600000,24797.40,24801.30,24773.00,24776.30,1105.733,2023-02-21 18:00:00
1676973900000,24776.30,24792.60,24740.00,24792.60,1976.010,2023-02-21 18:05:00
1676974200000,24792.60,24804.30,24730.30,24730.30,1396.689,2023-02-21 18:10:00
1676974500000,24730.40,24752.40,24702.20,24702.20,2421.724,2023-02-21 18:15:00
1676974800000,24702.30,24766.00,24699.00,24756.20,1662.456,2023-02-21 18:20:00
1676975100000,24756.20,24776.40,24726.30,24766.70,1124.380,2023-02-21 18:25:00
1676975400000,24766.80,24775.40,24732.50,24739.10,1031.303,2023-02-21 18:30:00
1676975700000,24739.10,24748.00,24680.40,24746.10,2004.138,2023-02-21 18:35:00
1676976000000,24746.10,24758.00,24711.00,24718.00,1078.317,2023-02-21 18:40:00
1676976300000,24717.90,24745.60,24670.20,24687.80,1992.702,2023-02-21 18:45:00
1676976600000,24687.90,24722.80,24674.40,24693.10,1614.618,2023-02-21 18:50:00
1676976900000,24693.20,24706.00,24674.80,24699.60,1249.946,2023-02-21 18:55:00
1676977200000,24699.60,24721.80,24677.30,24711.00,1374.706,2023-02-21 19:00:00
1676977500000,24711.10,24721.00,24696.70,24700.90,898.335,2023-02-21 19:05:00
1676977800000,24700.80,24704.10,24643.00,24662.90,2274.800,2023-02-21 19:10:00
1676978100000,24663.00,24735.70,24650.00,24735.70,1814.716,2023-02-21 19:15:00
1676978400000,24735.60,24756.40,24719.30,24744.60,1549.528,2023-02-21 19:20:00
1676978700000,24744.60,24747.10,24726.60,24733.90,648.101,2023-02-21 19:25:00
1676979000000,24733.90,24753.10,24685.70,24710.10,1270.118,2023-02-21 19:30:00
1676979300000,24710.10,24714.60,24662.60,24667.20,1418.786,2023-02-21 19:35:00
1676979600000,24667.20,24699.80,24652.10,24686.80,1606.222,2023-02-21 19:40:00
1676979900000,24686.70,24695.00,24620.00,24626.30,2626.392,2023-02-21 19:45:00
1676980200000,24626.30,24664.50,24600.00,24627.20,2874.505,2023-02-21 19:50:00
1676980500000,24627.20,24651.50,24555.00,24572.60,5799.092,2023-02-21 19:55:00
1676980800000,24572.60,24640.90,24550.00,24614.50,4561.959,2023-02-21 20:00:00
1676981100000,24614.60,24630.00,24474.80,24534.70,9922.050,2023-02-21 20:05:00
1676981400000,24534.80,24619.80,24523.10,24614.80,3638.715,2023-02-21 20:10:00
1676981700000,24614.90,24616.00,24535.00,24535.00,2640.537,2023-02-21 20:15:00
1676982000000,24535.00,24561.90,24521.10,24532.40,2232.283,2023-02-21 20:20:00
1676982300000,24532.40,24605.00,24519.10,24601.20,2383.482,2023-02-21 20:25:00
1676982600000,24601.20,24662.80,24592.10,24660.60,3864.511,2023-02-21 20:30:00
1676982900000,24660.60,24663.00,24620.00,24634.80,2073.537,2023-02-21 20:35:00
1676983200000,24634.70,24634.80,24585.00,24600.30,1904.817,2023-02-21 20:40:00
1676983500000,24600.40,24655.60,24599.40,24629.70,1195.632,2023-02-21 20:45:00
1676983800000,24629.80,24645.80,24605.10,24616.30,1043.213,2023-02-21 20:50:00
1676984100000,24616.30,24638.00,24614.30,24634.10,691.605,2023-02-21 20:55:00
1676984400000,24634.10,24649.40,24618.60,24632.30,1205.312,2023-02-21 21:00:00
1676984700000,24632.40,24643.90,24616.90,24635.50,941.883,2023-02-21 21:05:00
1676985000000,24635.60,24663.80,24629.30,24649.10,1274.622,2023-02-21 21:10:00
1676985300000,24649.10,24699.00,24643.00,24652.90,2285.959,2023-02-21 21:15:00
1676985600000,24652.80,24661.40,24626.20,24651.50,1488.314,2023-02-21 21:20:00
1676985900000,24651.50,24651.50,24604.00,24634.40,1874.302,2023-02-21 21:25:00
1676986200000,24634.40,24695.60,24628.90,24690.10,2132.319,2023-02-21 21:30:00
1676986500000,24690.10,24695.30,24639.10,24674.10,1097.871,2023-02-21 21:35:00
1676986800000,24674.10,24674.10,24615.00,24623.20,1076.778,2023-02-21 21:40:00
1676987100000,24623.20,24649.10,24587.70,24597.30,2143.304,2023-02-21 21:45:00
1676987400000,24597.20,24603.60,24580.00,24587.20,1987.284,2023-02-21 21:50:00
1676987700000,24587.10,24599.40,24505.60,24568.60,5637.169,2023-02-21 21:55:00
1676988000000,24568.60,24607.70,24550.20,24550.20,2472.330,2023-02-21 22:00:00
1676988300000,24550.20,24618.50,24550.20,24612.00,1455.075,2023-02-21 22:05:00
1676988600000,24612.00,24624.30,24583.50,24608.70,1535.877,2023-02-21 22:10:00
1676988900000,24608.80,24669.20,24601.20,24646.00,2544.014,2023-02-21 22:15:00
1676989200000,24645.90,24664.20,24626.30,24649.40,1386.131,2023-02-21 22:20:00
1676989500000,24649.40,24651.80,24623.20,24642.00,1053.758,2023-02-21 22:25:00
1676989800000,24642.10,24741.00,24600.10,24738.10,5796.832,2023-02-21 22:30:00
1676990100000,24738.10,24750.00,24664.00,24747.40,5081.971,2023-02-21 22:35:00
1676990400000,24747.40,24786.60,24720.00,24746.50,4486.984,2023-02-21 22:40:00
1676990700000,24746.50,24748.60,24684.10,24686.80,5189.780,2023-02-21 22:45:00
1676991000000,24686.80,24715.60,24650.00,24703.10,3023.996,2023-02-21 22:50:00
1676991300000,24703.10,24727.40,24661.40,24686.40,2068.466,2023-02-21 22:55:00
1676991600000,24686.30,24724.60,24674.20,24689.20,2204.878,2023-02-21 23:00:00
1676991900000,24689.10,24723.30,24680.00,24689.30,1395.080,2023-02-21 23:05:00
1676992200000,24689.20,24694.50,24571.80,24596.00,4262.727,2023-02-21 23:10:00
1676992500000,24596.10,24599.90,24388.00,24524.00,16644.367,2023-02-21 23:15:00
1676992800000,24524.00,24555.80,24470.80,24529.20,4924.158,2023-02-21 23:20:00
1676993100000,24529.10,24533.60,24468.40,24518.70,2715.867,2023-02-21 23:25:00
1676993400000,24518.80,24581.70,24476.80,24570.80,3260.900,2023-02-21 23:30:00
1676993700000,24570.80,24605.80,24551.00,24587.80,2806.497,2023-02-21 23:35:00
1676994000000,24587.80,24620.00,24581.60,24588.50,2326.432,2023-02-21 23:40:00
1676994300000,24588.60,24633.00,24568.10,24583.30,2560.029,2023-02-21 23:45:00
1676994600000,24583.40,24586.00,24542.80,24574.70,1695.605,2023-02-21 23:50:00
1676994900000,24574.60,24603.10,24535.70,24554.00,1382.325,2023-02-21 23:55:00
1676995200000,24554.00,24585.60,24535.80,24535.80,1569.122,2023-02-22 00:00:00
1676995500000,24535.80,24538.40,24479.30,24490.10,2956.184,2023-02-22 00:05:00
1676995800000,24490.20,24493.30,24366.00,24448.70,7871.741,2023-02-22 00:10:00
1676996100000,24448.80,24466.10,24305.00,24348.10,13340.169,2023-02-22 00:15:00
1676996400000,24348.00,24384.20,24321.00,24358.10,4247.501,2023-02-22 00:20:00
1676996700000,24358.00,24411.20,24356.20,24371.80,3006.597,2023-02-22 00:25:00
1676997000000,24371.80,24394.30,24268.50,24303.30,7084.347,2023-02-22 00:30:00
1676997300000,24303.40,24393.60,24267.20,24364.10,4698.790,2023-02-22 00:35:00
1676997600000,24364.20,24432.00,24343.30,24404.00,3507.771,2023-02-22 00:40:00
1676997900000,24404.10,24441.90,24368.00,24426.50,3147.114,2023-02-22 00:45:00
1676998200000,24426.60,24430.30,24400.80,24428.20,1746.597,2023-02-22 00:50:00
1676998500000,24428.20,24442.00,24374.70,24396.70,1942.863,2023-02-22 00:55:00
1676998800000,24396.80,24421.60,24390.00,24407.00,1556.387,2023-02-22 01:00:00
1676999100000,24407.00,24438.00,24405.80,24434.70,1251.153,2023-02-22 01:05:00
1676999400000,24434.70,24438.00,24374.60,24379.80,1451.950,2023-02-22 01:10:00
1676999700000,24379.80,24428.50,24366.20,24426.00,1264.535,2023-02-22 01:15:00
1677000000000,24425.90,24435.90,24396.70,24408.10,1228.432,2023-02-22 01:20:00
1677000300000,24408.20,24441.50,24390.40,24400.70,1455.828,2023-02-22 01:25:00
1677000600000,24400.70,24445.00,24396.00,24443.20,1128.215,2023-02-22 01:30:00
1677000900000,24443.20,24448.30,24413.30,24437.30,1037.567,2023-02-22 01:35:00
1677001200000,24437.30,24507.90,24437.30,24474.10,3563.311,2023-02-22 01:40:00
1677001500000,24474.20,24515.70,24468.10,24507.90,2033.354,2023-02-22 01:45:00
1677001800000,24507.80,24578.30,24502.80,24575.50,3514.929,2023-02-22 01:50:00
1677002100000,24575.50,24663.70,24548.60,24656.30,7910.871,2023-02-22 01:55:00
1677002400000,24656.30,24745.00,24630.00,24740.20,8117.882,2023-02-22 02:00:00
1677002700000,24740.20,24745.00,24639.30,24640.20,7228.517,2023-02-22 02:05:00
1677003000000,24640.20,24662.80,24580.00,24658.30,5271.771,2023-02-22 02:10:00
1677003300000,24658.40,24686.00,24622.20,24626.60,2617.720,2023-02-22 02:15:00
1677003600000,24626.50,24664.00,24623.30,24630.70,1357.604,2023-02-22 02:20:00
1677003900000,24630.70,24659.30,24619.60,24632.50,1864.635,2023-02-22 02:25:00
1677004200000,24632.50,24649.00,24608.50,24614.90,1060.952,2023-02-22 02:30:00
1677004500000,24614.90,24626.00,24566.30,24579.00,2992.208,2023-02-22 02:35:00
1677004800000,24578.90,24598.50,24561.40,24598.50,1726.582,2023-02-22 02:40:00
1677005100000,24598.50,24717.20,24585.50,24695.40,3774.151,2023-02-22 02:45:00
1677005400000,24695.40,24720.00,24680.00,24707.20,2124.511,2023-02-22 02:50:00
1677005700000,24707.20,24733.00,24681.70,24685.70,1783.551,2023-02-22 02:55:00
1677006000000,24685.70,24690.00,24647.80,24668.30,1543.567,2023-02-22 03:00:00
1677006300000,24668.30,24683.00,24640.70,24643.30,945.026,2023-02-22 03:05:00
1677006600000,24643.20,24664.80,24623.70,24644.70,1272.546,2023-02-22 03:10:00
1677006900000,24645.00,24649.00,24591.30,24591.50,1440.653,2023-02-22 03:15:00
1677007200000,24591.50,24605.00,24560.40,24587.30,1838.546,2023-02-22 03:20:00
1677007500000,24587.20,24646.40,24582.10,24634.70,1435.541,2023-02-22 03:25:00
1677007800000,24634.80,24686.60,24615.20,24686.50,2152.561,2023-02-22 03:30:00
1677008100000,24686.50,24697.70,24655.10,24656.10,1790.094,2023-02-22 03:35:00
1677008400000,24655.90,24657.00,24550.00,24613.10,3839.227,2023-02-22 03:40:00
1677008700000,24613.00,24627.90,24591.40,24616.10,776.825,2023-02-22 03:45:00
1677009000000,24616.20,24626.00,24594.40,24622.30,614.372,2023-02-22 03:50:00
1677009300000,24622.30,24637.60,24581.60,24607.70,664.516,2023-02-22 03:55:00
1677009600000,24607.70,24640.20,24575.10,24636.60,990.557,2023-02-22 04:00:00
1677009900000,24636.70,24636.70,24589.80,24601.70,506.327,2023-02-22 04:05:00
1677010200000,24601.70,24605.60,24555.30,24559.00,1430.480,2023-02-22 04:10:00
1677010500000,24559.00,24599.10,24550.50,24555.70,882.439,2023-02-22 04:15:00
1677010800000,24555.60,24555.60,24500.10,24527.60,3276.670,2023-02-22 04:20:00
1677011100000,24527.50,24527.60,24439.20,24461.50,3741.798,2023-02-22 04:25:00
1677011400000,24461.50,24524.40,24446.50,24518.40,2377.461,2023-02-22 04:30:00
1677011700000,24518.40,24529.30,24480.30,24509.10,1164.385,2023-02-22 04:35:00
1677012000000,24509.10,24523.70,24426.00,24479.00,2864.267,2023-02-22 04:40:00
1677012300000,24478.90,24494.80,24444.10,24486.90,1060.327,2023-02-22 04:45:00
1677012600000,24486.80,24497.80,24459.10,24473.50,1431.313,2023-02-22 04:50:00
1677012900000,24473.40,24490.00,24457.40,24468.10,806.712,2023-02-22 04:55:00
1677013200000,24468.10,24524.10,24455.60,24498.70,1651.392,2023-02-22 05:00:00
1677013500000,24498.70,24538.40,24488.40,24507.90,1263.392,2023-02-22 05:05:00
1677013800000,24507.90,24513.10,24352.50,24380.30,5391.816,2023-02-22 05:10:00
1677014100000,24380.30,24403.90,24262.90,24353.80,6914.626,2023-02-22 05:15:00
1677014400000,24353.80,24367.50,24152.00,24193.60,13086.789,2023-02-22 05:20:00
1677014700000,24193.70,24267.00,24150.00,24222.00,5918.499,2023-02-22 05:25:00
1677015000000,24222.10,24313.00,24206.00,24259.90,4342.543,2023-02-22 05:30:00
1677015300000,24259.90,24319.50,24246.00,24319.50,2234.173,2023-02-22 05:35:00
1677015600000,24319.50,24336.30,24242.90,24274.00,2928.453,2023-02-22 05:40:00
1677015900000,24274.00,24287.10,24172.00,24253.30,3874.283,2023-02-22 05:45:00
1677016200000,24253.30,24265.80,24180.00,24234.30,2615.326,2023-02-22 05:50:00
1677016500000,24234.30,24238.10,24153.00,24195.20,3538.799,2023-02-22 05:55:00
1677016800000,24195.30,24205.00,24150.20,24181.10,2181.482,2023-02-22 06:00:00
1677017100000,24181.10,24316.90,24165.00,24253.20,4254.470,2023-02-22 06:05:00
1677017400000,24253.20,24273.90,24221.80,24247.30,1720.351,2023-02-22 06:10:00
1677017700000,24247.30,24303.20,24240.50,24277.00,1444.596,2023-02-22 06:15:00
1677018000000,24276.90,24279.40,24230.40,24245.00,930.161,2023-02-22 06:20:00
1677018300000,24245.00,24305.40,24245.00,24290.80,846.216,2023-02-22 06:25:00
1677018600000,24290.80,24319.50,24268.80,24296.70,1045.892,2023-02-22 06:30:00
1677018900000,24296.70,24342.00,24276.20,24329.60,1597.059,2023-02-22 06:35:00
1677019200000,24329.50,24359.80,24304.50,24347.60,1692.604,2023-02-22 06:40:00
1677019500000,24347.70,24419.80,24330.50,24397.90,2716.816,2023-02-22 06:45:00
1677019800000,24398.00,24398.00,24324.20,24348.40,1455.307,2023-02-22 06:50:00
1677020100000,24348.50,24381.40,24348.40,24378.90,683.551,2023-02-22 06:55:00
