TimeStamp,Open,High,Low,Close,Volume,DataTime,ema7,ema25,ema50,ema144,ema169,dif,dea,macd,ao
1678737000000,24287.1,24287.1,24226.0,24252.5,2352.728,2023-03-14 03:50:00,24258.230707457966,24204.68382915469,,,,49.250594171186094,59.16238242780781,-9.911788256621719,89.98588235295028
1678737300000,24252.6,24318.6,24171.9,24314.6,3680.513,2023-03-14 03:55:00,24272.323030593474,24213.138919219713,,,,50.78627662524741,57.48716126729573,-6.700884642048322,97.52823529413217
1678737600000,24314.6,24350.0,24275.0,24281.6,4252.463,2023-03-14 04:00:00,24274.642272945104,24218.40515620281,,,,48.778207019451656,55.74537041772692,-6.967163398275261,100.27352941177742
1678737900000,24281.6,24310.7,24227.0,24228.5,1361.966,2023-03-14 04:05:00,24263.10670470883,24219.18168264875,,,,42.41315867281082,53.0789280687437,-10.665769395932877,77.76352941177174
1678738200000,24228.3,24260.7,24145.8,24178.3,3921.261,2023-03-14 04:10:00,24241.905028531623,24216.036937829613,,,,32.93839818842753,49.05082209268046,-16.112423904252935,51.0647058823597
1678738500000,24178.4,24241.6,24175.8,24218.2,1574.757,2023-03-14 04:15:00,24235.978771398717,24216.203327227337,,,,28.322692416462814,44.90519615743693,-16.58250374097412,37.63411764706689
1678738800000,24218.1,24229.5,24149.7,24162.5,2108.254,2023-03-14 04:20:00,24217.609078549038,24212.072302056004,24138.344000000005,,,19.940328151631547,39.91222255627586,-19.97189440464431,4.099411764716933
1678739100000,24162.4,24200.0,24140.1,24141.9,1539.051,2023-03-14 04:25:00,24198.68180891178,24206.67443266708,24138.483450980395,,,11.502403691702057,34.230258783361094,-22.727855091659038,-25.137647058814764
1678739400000,24142.0,24163.9,24076.8,24134.3,4333.992,2023-03-14 04:30:00,24182.586356683834,24201.107168615767,24138.319394079204,,,4.154144884731068,28.21503600363509,-24.06089111890402,-43.11588235293311
1678739700000,24134.2,24187.3,24115.4,24161.0,1916.981,2023-03-14 04:35:00,24177.189767512875,24198.02200179917,24139.20882960551,,,0.47953590622273623,22.667935984152617,-22.18840007792988,-49.35235294116865
1678740000000,24161.0,24248.1,24143.0,24218.3,3274.902,2023-03-14 04:40:00,24187.467325634658,24199.581847814618,24142.310444130784,,,2.166044132107345,18.567557613743563,-16.40151348163622,-52.52647058822913
1678740300000,24218.3,24247.0,24169.6,24182.8,1475.317,2023-03-14 04:45:00,24186.300494225994,24198.290936444264,24143.898269851146,,,0.6307893901976058,14.980203969034372,-14.349414578836766,-49.85176470587976
1678740600000,24182.8,24200.0,24125.5,24155.3,1677.581,2023-03-14 04:50:00,24178.550370669494,24194.98394133317,24144.34539652365,,,-2.772966198364884,11.429569935554522,-14.202536133919406,-46.49235294117898
1678740900000,24155.2,24175.7,24150.0,24160.4,861.759,2023-03-14 04:55:00,24174.01277800212,24192.323638153695,24144.97498881684,,,-5.001287913637498,8.143398365716118,-13.144686279353616,-43.21941176470864
1678741200000,24160.4,24212.5,24160.4,24190.0,1203.48,2023-03-14 05:00:00,24178.00958350159,24192.144896757258,24146.740675529905,,,-4.328875720038923,5.64894354856511,-9.977819268604033,-38.97529411765208
1678741500000,24190.1,24245.0,24175.6,24243.3,1415.642,2023-03-14 05:05:00,24194.33218762619,24196.079904699007,24150.527315705203,,,0.49912671904894523,4.618980182661877,-4.119853463612932,-37.419411764713004
1678741800000,24243.3,24243.4,24194.0,24220.3,1208.979,2023-03-14 05:10:00,24200.824140719644,24197.94298895293,24153.263499403038,,,2.44130382410367,4.183444910950236,-1.7421410868465657,-31.054705882361304
