TimeStamp,Open,High,Low,Close,Volume,DataTime
1570320000000,8122.01,8148.43,7760,7852.79,41909.039,2019-10-06 08:00:00
1570406400000,7851.01,8330,7764.42,8186.88,62760.299,2019-10-07 08:00:00
1570492800000,8188.55,8322.01,8103.88,8167.62,44715.165,2019-10-08 08:00:00
1570579200000,8168.33,8700,8113,8559.77,65453.643,2019-10-09 08:00:00
1570665600000,8559.77,8640.89,8419.34,8556.02,44285.668,2019-10-10 08:00:00
1570752000000,8557,8788,8210,8255.58,69157.964,2019-10-11 08:00:00
1570838400000,8255.54,8397.45,8248.34,8300.22,37761.514,2019-10-12 08:00:00
1570924800000,8300.31,8456,8137.30,8274.66,43820.913,2019-10-13 08:00:00
1571011200000,8274.33,8381.77,8205.02,8346.05,61999.821,2019-10-14 08:00:00
1571097600000,8346.31,8408.62,8080,8160.01,86246.749,2019-10-15 08:00:00
1571184000000,8160.55,8184,7900.24,7992.21,70434.452,2019-10-16 08:00:00
1571270400000,7994.76,8124.63,7930,8069.20,58354.602,2019-10-17 08:00:00
1571356800000,8069.41,8117.30,7812,7943.94,75251.352,2019-10-18 08:00:00
1571443200000,7945.57,8108.54,7852.12,7947.13,78024.395,2019-10-19 08:00:00
1571529600000,7947.78,8300.50,7871.17,8218.23,78663.915,2019-10-20 08:00:00
1571616000000,8218.23,8334.57,8150,8201.74,59928.516,2019-10-21 08:00:00
1571702400000,8201,8290,8000,8020.89,69506.880,2019-10-22 08:00:00
1571788800000,8020.68,8047.78,7172.76,7465,108484.139,2019-10-23 08:00:00
1571875200000,7465.18,7495.81,7337.44,7411.35,66719.534,2019-10-24 08:00:00
1571961600000,7410.07,8800,7359,8650,165118.926,2019-10-25 08:00:00
1572048000000,8650,10408.48,8626.89,9232.22,248161.161,2019-10-26 08:00:00
1572134400000,9234.75,9803.83,9066.07,9533.32,163544.019,2019-10-27 08:00:00
1572220800000,9534.37,9930.13,9156.03,9217.36,155599.975,2019-10-28 08:00:00
1572307200000,9215.78,9569.10,9070,9415.02,124703.014,2019-10-29 08:00:00
1572393600000,9415.02,9418.65,8975.72,9165.30,98464.858,2019-10-30 08:00:00
1572480000000,9163.40,9438.64,8933,9150,98836.044,2019-10-31 08:00:00
1572566400000,9149.88,9280,9050.27,9231.01,87256.949,2019-11-01 08:00:00
1572652800000,9231.70,9375,9194.98,9287.80,56602.055,2019-11-02 08:00:00
1572739200000,9288.96,9366.69,9073,9197.88,75612.722,2019-11-03 08:00:00
1572825600000,9197.86,9550,9126.01,9395.46,90433.357,2019-11-04 08:00:00
1572912000000,9395.47,9457.13,9164.33,9313.20,113738.226,2019-11-05 08:00:00
1572998400000,9313.10,9450,9259.48,9343.60,73767.911,2019-11-06 08:00:00
1573084800000,9344.29,9381.93,9091.20,9219.64,77389.569,2019-11-07 08:00:00
1573171200000,9221.63,9259.30,8669.85,8775.03,151851.160,2019-11-08 08:00:00
1573257600000,8775.60,8878,8727,8811.15,66846.392,2019-11-09 08:00:00
1573344000000,8811.30,9187,8760,9041.31,91099.197,2019-11-10 08:00:00
1573430400000,9041.31,9072.91,8611.11,8728.93,113373.762,2019-11-11 08:00:00
1573516800000,8729.89,8889.06,8552.12,8817,107520.546,2019-11-12 08:00:00
1573603200000,8817.94,8838,8712,8774.76,58585.811,2019-11-13 08:00:00
1573689600000,8774.78,8798.06,8581.39,8642.25,87099.995,2019-11-14 08:00:00
1573776000000,8642.47,8780,8380,8473.27,145602.497,2019-11-15 08:00:00
1573862400000,8473.30,8540.54,8435,8491.06,48657.040,2019-11-16 08:00:00
1573948800000,8491.18,8631,8355.78,8504.04,72152.266,2019-11-17 08:00:00
1574035200000,8504.13,8504.71,8050,8183.26,123477.142,2019-11-18 08:00:00
1574121600000,8183.30,8212.87,8000,8131.70,110854.030,2019-11-19 08:00:00
1574208000000,8131.12,8230,8037.50,8094.05,87352.380,2019-11-20 08:00:00
1574294400000,8094.57,8131.51,7432,7621.90,180289.189,2019-11-21 08:00:00
1574380800000,7621.89,7765.03,6762.73,7262.72,371213.951,2019-11-22 08:00:00
1574467200000,7261.89,7345.84,7073.38,7305.99,139643.311,2019-11-23 08:00:00
1574553600000,7306.19,7324.92,6855.91,6900.86,183676.078,2019-11-24 08:00:00
